Sector,Domain,Note
travel,1-800-vermont.com,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19
see,1800arkansas.com,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38
service,211.getcare.com,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14"
service,211virginia.org,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17"
th,4thjudicialda.com,4th Judicial District Attorney -- Note added 1/10/14 19:17
ny,511ny.org,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34"
state,accessidaho.org,State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28
cooperative,aces.edu,Alabama Cooperative Extension System -- Note added 6/12/13 16:37
cooperative,aces.nmsu.edu/pubs,New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38
adoption,adoptpakids.org,Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39
department,adph.org,Alabama Department of Public Health -- Note added 6/12/13 16:40
university,ag.umass.edu,University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32
agrilife,agrilifeextension.tamu.edu,Texas A&M AgriLife Extension -- Note added 3/3/15 6:32
housing,ahfa.com,Alabama Housing Finance Authority -- Note added 6/12/13 16:40
housing,ahfc.us,Alaska Housing Finance Corporation -- Note added 6/6/13 18:08
industrial,aidea.org,Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08
department,ak-prepared.com,Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01
aerospace,akaerospace.com,Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) -- Note added 7/23/14 15:36
energy,akenergyauthority.org,Alaska Energy Authority -- Note added 6/6/13 18:08
public,akpb.org,Alaska Public Broadcasting Commission -- Note added 6/6/13 18:08
railroad,akrr.com,Alaska Railroad Corporation -- Note added 6/6/13 18:08
travel,alabama.travel,Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22
national,alabamacounterdrug.com,Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41
film,alabamafilm.org,Alabama Film Office -- Note added 6/12/13 16:42
legal,alalinc.net,"Alabama's Legal Information Center, Alabama Supreme Court and State Law Library Catalog - catalog.alalinc.net and 2.alalinc.net -- Note added 6/12/13 16:43"
railroad,alaskarailroad.com,Alaska Railroad Corporation -- Note added 7/2/13 17:55
seafood,alaskaseafood.org,Alaska Seafood Marketing Institute -- Note added 6/6/13 18:08
state,albme.org,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46
board,albop.com,Alabama Board of Pharmacy -- Note added 6/12/13 16:47
state,alsde.edu,Alabama State Department of Education -- Note added 6/12/13 17:15
travel,americansamoa.travel,Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22
amtrak,amtrakcascades.com,"Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. -- Note added 6/17/14 14:40"
agency,apdcares.org,Agency for Persons with Disabilities (APD) -- Note added 2/25/15 15:33
permanent,apfc.org,Alaska Permanent Fund Corporation -- Note added 6/6/13 18:08
public,apscservices.info,Arkansas Public Service Commission -- Note added 1/10/14 17:55
arbenefitsfor,arbenefits.org,ARBenefitsfor Arkansas State and Public School Plan MembersProvided by the Employee Benefit Division of the [Arkansas] Department of Finance & Administration -- Note added 12/10/14 6:24
fire,arfireprotection.org,Arkansas Fire Protection Licensing Board -- Note added 6/12/13 18:10
national,arguard.org,Arkansas National Guard -- Note added 1/23/14 13:42
travel,arizonaguide.com,Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16
lottery,arizonalottery.com,Arizona lottery -- Note added 11/18/13 15:03
workforce,arizonaworkforceconnection.com,"Arizona's Workforce Connection!, a website of the Governor's Council on Workforce Policy developed to provide easy access to the workforce development system in Arizona. -- Note added 11/18/13 15:13"
history,ark-ives.com,"Arkansas History Commission, a division of the Arkansas Department of Parks and Tourism -- Note added 12/10/14 6:32"
