Ngram,Frequency
"('note', 'added')",827
"('north', 'carolina')",95
"('department', 'of')",90
"('of', 'the')",69
"('board', 'of')",59
"('and', 'tourism')",54
"('travel', 'and')",53
"('state', 'of')",43
"('tourism', 'site')",42
"('site', 'for')",42
"('commission', 'note')",36
"('office', 'of')",34
"('division', 'of')",33
"('authority', 'note')",30
"('lottery', 'note')",30
"('for', 'the')",26
"('state', 'board')",24
"('the', 'state')",21
"('services', 'note')",21
"('the', 'north')",21
"('national', 'guard')",20
"('board', 'note')",20
"('extension', 'note')",19
"('by', 'the')",18
"('of', 'public')",17
"('carolina', 'department')",17
"('is', 'a')",16
"('university', 'of')",16
"('guard', 'note')",16
"('examiners', 'note')",16
"('new', 'york')",15
"('south', 'carolina')",15
"('west', 'virginia')",15
"('virginia', 'department')",14
"('economic', 'development')",14
"('service', 'note')",14
"('public', 'health')",13
"('to', 'the')",13
"('resources', 'note')",13
"('of', 'north')",13
"('washington', 'state')",13
"('of', 'examiners')",13
"('and', 'the')",12
"('of', 'transportation')",12
"('education', 'note')",12
"('of', 'state')",12
"('nc', 'department')",12
"('council', 'note')",12
"('such', 'as')",12
"('york', 'state')",11
"('office', 'note')",11
"('of', 'education')",11
"('website', 'note')",11
"('health', 'and')",11
"('cooperative', 'extension')",10
"('new', 'mexico')",10
"('human', 'services')",10
"('carolina', 'note')",10
"('in', 'the')",10
"('agencies', 'such')",10
"('historical', 'society')",10
"('development', 'authority')",10
"('virgin', 'islands')",10
"('agency', 'note')",10
"('nc', 'board')",10
"('state', 'agencies')",10
"('tourism', 'sites')",10
"('sites', 'for')",10
"('system', 'note')",9
"('nc', 'division')",9
"('state', 'university')",9
"('of', 'health')",9
"('of', 'agriculture')",9
"('pattern', 'to')",9
"('program', 'note')",8
"('fund', 'note')",8
"('carolina', 'board')",8
"('commission', 'on')",8
"('dept', 'of')",8
"('university', 'extension')",8
"('virginia', 'note')",8
"('higher', 'education')",8
"('society', 'note')",8
"('louisiana', 'board')",8
"('louisiana', 'state')",8
"('association', 'of')",8
"('and', 'human')",8
"('to', 'include')",8
"('as', 'those')",8
"('those', 'at')",8
"('the', 'virginia')",7
"('the', 'united')",7
"('health', 'note')",7
"('corporation', 'note')",7
"('trust', 'fund')",7
"('site', 'note')",7
